,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
75,16.0,Fialová Blanka,Ing.,49.0,KSČM,KSČM,5723.0,2.2,8.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2.0,Fojtíček Ctibor,Ing.,64.0,ODA,ODA,1371.0,5.27,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,26.0,Fojtíček Martin,Mgr. et Mgr.,31.0,KDU-ČSL,BEZPP,3130.0,2.14,23.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,42.0,Formánek Petr,,57.0,SZ,SZ,1089.0,1.51,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,8.0,Frank Stanislav,Mgr.,47.0,PVP,PVP,4583.0,2.5,6.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20.0,Frouz Robert,Mgr.,33.0,KDU-ČSL,BEZPP,3113.0,2.13,18.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,41.0,Fuchsová Radka,MUDr.,31.0,PVP,BEZPP,3065.0,1.67,37.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,44.0,Gregoričová Marie,Mgr.,27.0,PVP,BEZPP,2870.0,1.56,40.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,14.0,Hájek Marcel,MUDr.,37.0,ODA,BEZPP,1684.0,6.47,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9.0,Hájek Miroslav,Ing. RNDr.,45.0,SZ,SZ,2152.0,2.99,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.0,Hajný Stanislav,Ing.,63.0,ODS,ODS,16513.0,2.22,9.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,27.0,Halla Marcel,,50.0,PVP,BEZPP,3435.0,1.87,23.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,36.0,Hánová Hana,,52.0,ODA,BEZPP,417.0,1.6,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20.0,Hanzíková Eva,Ing.,34.0,SZ,BEZPP,1398.0,1.94,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,38.0,Hauer Václav,,53.0,ČSSD,ČSSD,8011.0,1.98,28.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8.0,Havlíčková Anna,JUDr.,50.0,SZ,BEZPP,2017.0,2.8,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2.0,Havlíková Hana,MUDr.,68.0,SŽJ,SŽJ,867.0,9.82,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,37.0,Hejný Tomáš,Ing.,25.0,SZ,BEZPP,1257.0,1.74,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,12.0,Hendrych Vladimír,Ing.,46.0,ODA,BEZPP,688.0,2.64,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7.0,Heřman Karel,,58.0,KSČM,KSČM,5830.0,2.24,7.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
