,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
60,30.0,Dolanský Petr,RNDr.,60,ODA,BEZPP,883,3.39,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
61,18.0,Dolanský Petr,,34,US-DEU,US-DEU,2 703,2.27,15.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
62,28.0,Dolejš Jiří,,53,SZ,SZ,1 249,1.73,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
63,2.0,Doležalová Ivonna,,42,SZ,BEZPP,2 408,3.35,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
64,24.0,Doležel Tomáš,MUDr.,45,US-DEU,US-DEU,2 513,2.11,21.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
65,8.0,Domanický Petr,Ing. arch.,29,US-DEU,BEZPP,3 898,3.28,3.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
66,8.0,Dostálová Danuše,,31,SŽJ,SŽJ,449,5.09,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
67,46.0,Dostálová Vlastimila,Mgr.,55,ODS,ODS,13 623,1.83,26.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
68,29.0,Drápalová Barbora,Bc.,25,KDU-ČSL,KDU-ČSL,2 611,1.79,26.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
69,22.0,Drnek Jan,,41,PVP,BEZPP,3 563,1.94,19.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
70,42.0,Duda Bohuslav,,35,ODS,ODS,14 575,1.96,22.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
71,27.0,Duda Milan,JUDr.,44,KDU-ČSL,KDU-ČSL,2 927,2.0,24.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
72,1.0,Duchek Vladimír,Ing. Ph.D.,37,PVP,PVP,6 110,3.33,2.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
73,32.0,Duchková Stanislava,prom.ped.,65,ODS,ODS,15 280,2.05,12.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
74,35.0,Fajfrová Eva,RNDr.,48,KDU-ČSL,KDU-ČSL,2 658,1.82,32.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
75,16.0,Fialová Blanka,Ing.,49,KSČM,KSČM,5 723,2.2,8.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
76,2.0,Fojtíček Ctibor,Ing.,64,ODA,ODA,1 371,5.27,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
77,26.0,Fojtíček Martin,Mgr. et Mgr.,31,KDU-ČSL,BEZPP,3 130,2.14,23.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
78,42.0,Formánek Petr,,57,SZ,SZ,1 089,1.51,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
79,8.0,Frank Stanislav,Mgr.,47,PVP,PVP,4 583,2.5,6.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
80,20.0,Frouz Robert,Mgr.,33,KDU-ČSL,BEZPP,3 113,2.13,18.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
81,41.0,Fuchsová Radka,MUDr.,31,PVP,BEZPP,3 065,1.67,37.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
82,44.0,Gregoričová Marie,Mgr.,27,PVP,BEZPP,2 870,1.56,40.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
83,14.0,Hájek Marcel,MUDr.,37,ODA,BEZPP,1 684,6.47,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
84,9.0,Hájek Miroslav,Ing. RNDr.,45,SZ,SZ,2 152,2.99,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
85,7.0,Hajný Stanislav,Ing.,63,ODS,ODS,16 513,2.22,9.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
86,27.0,Halla Marcel,,50,PVP,BEZPP,3 435,1.87,23.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
87,36.0,Hánová Hana,,52,ODA,BEZPP,417,1.6,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
88,20.0,Hanzíková Eva,Ing.,34,SZ,BEZPP,1 398,1.94,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
89,38.0,Hauer Václav,,53,ČSSD,ČSSD,8 011,1.98,28.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
90,8.0,Havlíčková Anna,JUDr.,50,SZ,BEZPP,2 017,2.8,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
91,2.0,Havlíková Hana,MUDr.,68,SŽJ,SŽJ,867,9.82,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
92,37.0,Hejný Tomáš,Ing.,25,SZ,BEZPP,1 257,1.74,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
93,12.0,Hendrych Vladimír,Ing.,46,ODA,BEZPP,688,2.64,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
94,7.0,Heřman Karel,,58,KSČM,KSČM,5 830,2.24,7.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
95,35.0,Hessová Jaroslava,Mgr.,44,ČSSD,ČSSD,8 371,2.07,25.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
